"Günaydın, [Şirket Adı] müşteri desteğini aradığınız için teşekkür ederiz. Ben [Temsilci Adı]; bugün size nasıl yardımcı olabilirim?",1
"Günaydın ve Best Butlers müşteri desteğini aradığınız için teşekkürler. Ben Reginald; bugün size nasıl yardımcı olabilirim?",1
"[Şirket Adı]'nı aradığınız için teşekkür ederim! Benim adım [Adınız] ve bugün size yardımcı olmaktan heyecan duyuyorum. Bize ilk kez ulaştığınızı görüyorum. Topluluğumuza hoş geldiniz; sizi aramızda görmekten mutluluk duyuyoruz! Bugün sizin için ne yapabilirim?",1
"Ölüm Yıldızı Yardım Hattı'nı aradığınız için teşekkür ederim! Benim adım Stormtrooper TK-801 ve bugün size yardımcı olmaktan heyecan duyuyorum. Anladığım kadarıyla ilk kez bizimle iletişime geçiyorsunuz. Topluluğumuza hoş geldiniz; sizi aramızda görmekten mutluluk duyuyoruz! Bugün sizin için ne yapabilirim?",1
"Merhaba, [Müşteri Adı]! [X] müşterimiz olduğunuz için teşekkür ederiz—bugün size nasıl yardımcı olabilirim?",1
"Bunu duyduğuma üzüldüm, biliyorum rahatsız edici bir durum. Siparişinizin durumunu hemen kontrol edeyim. Sipariş numaranızı verebilir misiniz?",1
"Sabrınız için teşekkür ederiz, [Müşteri Adı]. Teslimatınızın [varsa sebep] nedeniyle geciktiği anlaşılıyor. Bunun can sıkıcı olduğunu biliyorum. Bu durumu çözmek için attığımız adımlar şunlardır",1
"Ah hayır, bunu duyduğuma çok üzüldüm Bay Saruman. Bunun sizin için sakıncalı olduğunun farkındayım. Siparişinizin durumunu hemen kontrol edeyim. Sipariş numaranızı verebilir misiniz?",1
"Ah hayır! Karışıklık için özür dilerim, [Müşteri Adı]. Bu hoş olmayan bir sürpriz olmalı. Bunu hemen sizin için halledelim. Lütfen sipariş numaranızı ve [varsa] aldığınız ürün ile beklediğiniz ürünün kısa bir açıklamasını paylaşır mısınız?",1
"Verdiğimiz rahatsızlıktan dolayı özür dileriz ve size [indirim, para iadesi veya mağaza kredisi gibi herhangi bir seçenekten bahsedin] sunmak isteriz.",1
"[İsim] Anlattığınızı anlıyorum. [Belirtilen hizmet/ürün] için tahsil edilen tutar yanlış. Hemen araya girip bunu düzelteyim ve [tutar] tutarında bir geri ödeme yapayım. Bu düzeltmeyi bir sonraki fatura ekstrenizde göreceksiniz.",1
"Öncelikle en güncel kullanıcı adı ve şifreyi girdiğinizden emin olalım. Herhangi bir hata mesajı görüyor musunuz?",1
"Birkaç temel sorun giderme adımını deneyelim. Öncelikle, tarayıcınızın önbelleğini ve çerezlerini temizleyin ve bunun bir fark yaratıp yaratmadığını bana bildirin.",1
"O ekranda herhangi bir hata mesajı alıyor musunuz?",1
"Olan biteni anlamama yardımcı olmak için lütfen aşağıdaki bilgileri benimle paylaşır mısınız:
"Hangi cihazı ve işletim sistemini kullanıyorsunuz?"
"Yazılımımızın/uygulamamızın hangi sürümünü kullanıyorsunuz?",1
"Sisteminizde veya ağınızda son zamanlarda herhangi bir değişiklik oldu mu?",1
"Sorunu tespit etmek için birkaç temel teşhis adımını birlikte uygulayalım. Korkutucu bir şey yok, söz veriyorum.",1
"Cihazınızı yeniden başlatın, ardından özelliğe tekrar erişmeyi deneyin.",1
"Yazılımımız/uygulamamız için mevcut güncellemeleri kontrol edin ve yükleyin.",1
"İnternet bağlantınızın stabil olduğundan emin olun. Mümkünse farklı bir ağa bağlanmayı deneyin.",1
"Güvenlik duvarını veya antivirüs yazılımını geçici olarak devre dışı bırakarak müdahale edip etmediğini kontrol edin.",1
"Anladım! Güncellenmesini istediğiniz bilgileri bana bildirebilir misiniz? Detayları verirseniz, sizin için halledebilirim.",1
"Hesabınızı etkinleştirmenize yardımcı olabilirim. Etkinleştirme bağlantısını doğrulamak için e-postanıza erişebiliyor musunuz?",1
"İsteğiniz üzerine hesabınızı devre dışı bıraktım. Hesabınızı tekrar etkinleştirmek isterseniz lütfen bizimle tekrar iletişime geçmeyin. İstediğiniz zaman tekrar etkinleştirebilirim.",1
"Lütfen şifre sıfırlama bağlantısı için e-postanızı kontrol edin ve şifrenizi başarıyla değiştirdikten sonra bana bildirin.",1
"Bu gerçekten üzücü. Bu durum için üzgünüm ve bunu en kısa sürede çözmek için elimden gelenin en iyisini yapacağım.",1
"Sabrınız için teşekkür ederim. Bu sorunu çözmek için yapabileceğim şeyler şunlardır: [Sorunu çözmek için atacağınız adımları açıklayın]. Bu size uygun mu?",1
"Güvenlik amacıyla, lütfen tam adınızı ve hesabınızla ilişkili e-posta adresinizi teyit edebilir misiniz?",1
"Devam etmeden önce, bu görüşme sırasında paylaşılan tüm bilgilerin azami gizlilikle ele alınacağını ve yalnızca sorununuzu çözmek için kullanılacağını bilmenizi isterim.",1
"Bunu açıkladığınız için teşekkür ederim, [Müşteri Adı]. Doğru yardımı almak için uzmanımızla görüşmeniz gerekeceğini düşünüyorum. İhtiyacınız olan yardımı aldığınızdan emin olmak için sizi [ilgili alan] uzmanımıza bağlayayım. Çağrınızı aktarırken sizi kısa bir süre beklemeye alabilir miyim?",1
"Bu sorunu çözmek için yöneticimle görüşmeniz gerekecek gibi görünüyor. Sizi ona aktarmak istiyorum. Sizin için uygun mu?",1
"Yaşadığınız sıkıntılar için gerçekten çok üzgünüm. Bunun ne kadar sinir bozucu olduğunu tamamen anlıyorum ve böyle bir şeyin yaşanmış olmasından dolayı çok üzgünüm. Bunu birlikte çözeceğiz.",1
"Merhaba, ben [Şirket Adı]'ndan [Adınız]. Destek ekibimizle yakın zamanda gerçekleştirdiğiniz görüşmeyle ilgili her şeyin yolunda gittiğinden emin olmak için arıyorum. Şimdi görüşmek için uygun bir zaman mı?",1
"Doğrulama amacıyla, lütfen tam adınızı ve hesabınızla ilişkili e-posta adresinizi onaylayabilir misiniz?",1
"Çok teşekkür ederim. 4 Temmuz 2012'de New York'ta yaşanan uzaylı istilasıyla ilgili bildirdiğiniz konu hakkında bilgi almak için iletişime geçiyorum.",1
"Görünüşe göre bu sorunu araştırmak için biraz zamana ihtiyacımız olacak. Daha fazla bilgi edindiğimizde sizinle tekrar iletişime geçebilir miyim? [Belirtilen zaman dilimi] içinde bir güncelleme alacağımızı düşünüyorum.",1
"Lütfen sorunun sizin tarafınızda tamamen çözüldüğünü kontrol edip teyit edebilir misiniz? Bu sorunla ilgili yardıma ihtiyacınız olan başka bir şey var mı?",1
"Bu sorunu sizin için çözebildiğimize sevindim. Başka bir konuda yardıma ihtiyacınız olursa lütfen çekinmeden bize ulaşın.",1
"Tekrar çok özür dilerim, verdiğimiz rahatsızlıktan dolayı. Durumu düzeltme şansı verdiğiniz için teşekkür ederim. İyi günler dilerim, yakında tekrar iletişime geçeceğiz.",1
"Görünüşe göre hala [ürün/hizmet] kullanıyorsunuz. Ayrıca, sahip olduğunuz ürün/hizmetle çok iyi çalışan [ilgili ürün/hizmet] de sunuyoruz. Örneğin, [faydalarını açıklayın]. Daha fazla bilgi edinmek ister misiniz?",1
"Hizmetlerimizi sürekli iyileştirmenin yollarını arıyoruz, bu nedenle geri bildirimlerinizi duymak isteriz. Bugün bizimle yaşadığınız deneyim hakkında birkaç dakikanızı ayırıp bilgi paylaşabilir misiniz?",1
"Merhaba [müşteri adı], bizimle iletişime geçtiğiniz için teşekkür ederiz. Siparişinizde bir sorun olabileceğini anlıyoruz. Şu anda durumu inceliyoruz ve ne olduğunu öğrenir öğrenmez size geri döneceğiz.",1
"Desteğe ulaştığınız için teşekkürler. Size nasıl yardımcı olabilirim?",1
"Merhaba, ben [İsim]. Bugün size hangi konuda destek sağlayabilirim?",1
"Bize ulaştığınız için teşekkürler. Talebiniz alındı, kısa süre içinde dönüş yapacağız.",1
"Sistemlerimizde bir yoğunluk var, anlayışınız için teşekkür ederiz.",1
"Güvenliğiniz için lütfen tam adınızı ve doğum tarihinizi doğrular mısınız?",1
"İşleminize devam edebilmem için hesap numaranızı paylaşır mısınız?",1
"Sorunun ne zaman başladığına dair biraz daha detay verebilir misiniz?",1
"Bahsettiğiniz hatanın ekran görüntüsünü veya hata kodunu paylaşabilir misiniz?",1
"Kayıtlı e-posta adresinize bir doğrulama kodu gönderdim, kontrol eder misiniz?",1
"Lütfen hattan ayrılmayın, bilgilerinizi kontrol ediyorum.",1
